"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"HOLE_L2,HOLE_L1,HOLE_L3,HOLE_L4";"";4;"";;;
2;"R2";"0603R";1;"10k";;;
3;"C2,C1";"0603C";2;"2u2";;;
4;"C3";"0603C";1;"100n";;;
5;"Q2";"SOT-23-3";1;"PNP";;;
6;"C5";"ELECTROLITIC_CAP_8x8x14.5";1;"EMZR160ARA681MHA0G";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"U3";"SOIC−8";1;"NE555DR";;;
9;"R4";"0603R";1;"10R";;;
10;"R3";"0603R";1;"1k";;;
11;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
12;"U2";"SOT-23-5";1;"SE5218";;;
13;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
14;"C4";"0603C";1;"10n";;;
15;"R1";"tc33x-2-103e";1;"TC33X-2-105E";;;
16;"Q1";"SOT-23-3";1;"NMOS";;;
17;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
18;"U1";"PIR_senzor";1;"AM312";;;
