"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2";"0603R";1;"10k";;;
2;"C2,C1";"0603C";2;"2u2";;;
3;"C3";"0603C";1;"100n";;;
4;"Q2";"SOT-23-3";1;"PNP";;;
5;"C5";"ELECTROLITIC_CAP_8x8x14.5";1;"EMZR160ARA681MHA0G";;;
6;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
7;"U3";"SOIC−8";1;"NE555DR";;;
8;"R4";"0603R";1;"10R";;;
9;"R3";"0603R";1;"1k";;;
10;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
11;"U2";"SOT-23-5";1;"SE5218";;;
12;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
13;"C4";"0603C";1;"10n";;;
14;"R1";"tc33x-2-103e";1;"TC33X-2-105E";;;
15;"Q1";"SOT-23-3";1;"NMOS";;;
16;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
17;"U1";"PIR_senzor";1;"AM312";;;
18;"K2";"PIR_senzor_kapica";1;"PIR_lens";;;
